number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_accuracy,user_attrs_co2_kg,user_attrs_training_time,state
0,0.44225708756220894,2025-10-22 23:47:20.186655,2025-10-22 23:54:32.799116,0 days 00:07:12.612461,64,0.4251414174131032,0.00042523793875976043,1.3677299689489108e-05,73.75,0.01179757087562209,427.6431632041931,COMPLETE
1,0.3825298761072915,2025-10-22 23:54:32.801086,2025-10-23 00:01:23.864424,0 days 00:06:51.063338,128,0.6269041986653598,0.0009394578095892513,0.0004036613506862715,73.76,0.011201298761072915,406.0776631832123,COMPLETE
2,0.428122988550353,2025-10-23 00:01:23.868085,2025-10-23 00:08:37.423879,0 days 00:07:13.555794,64,0.37469464874691943,0.0015818966260014173,4.8721727910189627e-05,75.34,0.01181522988550353,428.61929178237915,COMPLETE
3,0.4522698583811612,2025-10-23 00:08:37.425926,2025-10-23 00:15:56.297298,0 days 00:07:18.871372,64,0.6062689408829414,0.00040205577864159604,0.00011700648108905128,74.35,0.011957698583811611,433.8510248661041,COMPLETE
4,0.269039429533001,2025-10-23 00:15:56.300719,2025-10-23 00:21:33.175537,0 days 00:05:36.874818,256,0.36369843234063604,0.007775545286602259,1.6557587483289427e-05,67.54,0.00944439429533001,331.9167413711548,COMPLETE
5,0.5067661544633434,2025-10-23 00:21:33.179471,2025-10-23 00:28:44.799557,0 days 00:07:11.620086,64,0.30804540043889933,0.004973522478842547,0.00038168172501358127,66.98,0.011765661544633434,426.5237846374512,COMPLETE
6,0.38340353387717696,2025-10-23 00:28:44.802363,2025-10-23 00:35:20.524533,0 days 00:06:35.722170,256,0.631439428852693,0.004348278362000141,0.00021404264450316235,69.91,0.01082503533877177,390.8506886959076,COMPLETE
7,0.2653792012159252,2025-10-23 00:35:20.527653,2025-10-23 00:41:16.328927,0 days 00:05:55.801274,256,0.6254195346756262,0.0003610779517659086,0.0002178261471879389,72.28,0.009881792012159251,350.8688163757324,COMPLETE
8,0.37076252222069384,2025-10-23 00:41:16.331980,2025-10-23 00:48:05.204619,0 days 00:06:48.872639,128,0.40403263486272634,0.001804652259173636,0.0004389387256853748,74.39,0.011146625222206939,403.95600986480713,COMPLETE
9,0.4533471772800559,2025-10-23 00:48:05.208804,2025-10-23 00:55:18.631247,0 days 00:07:13.422443,64,0.6466508591486119,0.00017070262733830815,0.00029639925350490834,72.77,0.011810471772800559,428.4121000766754,COMPLETE
10,0.3126816481290101,2025-10-23 00:55:18.633738,2025-10-23 01:01:08.633946,0 days 00:05:50.000208,256,0.5038938774886408,0.00010702147190943483,0.0009837848436113508,66.2,0.009746816481290102,344.8679230213165,COMPLETE
11,0.2798024666539265,2025-10-23 01:01:08.637221,2025-10-23 01:06:55.142609,0 days 00:05:46.505388,256,0.5214297424158284,0.008434403306543303,1.160429609783149e-05,68.66,0.009664024666539265,341.3770697116852,COMPLETE
12,0.24929799487328697,2025-10-23 01:06:55.144719,2025-10-23 01:12:47.478843,0 days 00:05:52.334124,256,0.5559867887219767,0.0005817902665965038,3.526525370585725e-05,72.71,0.009763979948732869,347.2832877635956,COMPLETE
13,0.28468250615183444,2025-10-23 01:12:47.481850,2025-10-23 01:18:57.461077,0 days 00:06:09.979227,256,0.6980681658557331,0.00041261903118621905,3.984065606380618e-05,72.09,0.010055825061518345,365.14269518852234,COMPLETE
14,0.27093111502685885,2025-10-23 01:18:57.464419,2025-10-23 01:25:06.720658,0 days 00:06:09.256239,256,0.5523877743505072,0.0007182425764715135,4.747660135683295e-05,73.26,0.010035311150268589,364.4318084716797,COMPLETE
15,0.3062422792159911,2025-10-23 01:25:06.722530,2025-10-23 01:31:15.877497,0 days 00:06:09.154967,256,0.5758151989018209,0.0002071240043706833,9.253392457503883e-05,69.68,0.010030422792159911,364.2588541507721,COMPLETE
16,-0.6944699573072365,2025-10-23 01:31:15.880088,2025-10-23 01:37:40.496087,0 days 00:06:24.615999,128,0.694634666595853,0.00024294779711381314,2.7401245465257086e-05,73.09,0.000364300426927635,379.17983961105347,COMPLETE
17,0.31120893657738236,2025-10-23 01:37:40.499326,2025-10-23 01:44:03.272156,0 days 00:06:22.772830,128,0.6913193482400001,0.00024776611554595915,2.451464219550956e-05,72.86,0.010398089365773824,377.95140981674194,COMPLETE
18,0.34835436814638543,2025-10-23 01:44:03.275642,2025-10-23 01:50:26.969995,0 days 00:06:23.694353,128,0.45053999520969573,0.000106870467157437,2.7425608299397794e-05,69.34,0.010417543681463855,378.66360545158386,COMPLETE
19,0.28168439493207476,2025-10-23 01:50:26.973436,2025-10-23 01:56:45.604380,0 days 00:06:18.630944,128,0.4662054292707618,0.0007278943343384526,6.72527379711609e-05,74.7,0.010286843949320747,373.8604202270508,COMPLETE
20,0.29424154826153515,2025-10-23 01:56:45.607535,2025-10-23 02:03:05.343671,0 days 00:06:19.736136,128,0.5595527448267059,0.0016249789256498125,2.334001065558692e-05,73.7,0.010312415482615352,374.8071186542511,COMPLETE
21,0.2824970596854376,2025-10-23 02:03:05.346806,2025-10-23 02:09:13.845418,0 days 00:06:08.498612,256,0.6671064904415306,0.0003138551599341919,0.00014513008374143175,71.87,0.010011970596854375,363.65398693084717,COMPLETE
22,0.2716188116044803,2025-10-23 02:09:13.848916,2025-10-23 02:15:22.451386,0 days 00:06:08.602470,256,0.5905294705328005,0.0005876414804568301,7.182682616800071e-05,73.04,0.010020188116044803,363.90296506881714,COMPLETE
23,0.30987112489055946,2025-10-23 02:15:22.454390,2025-10-23 02:21:32.638892,0 days 00:06:10.184502,256,0.6648584849535418,0.00019965354160538835,0.0001650470608792973,69.61,0.010059711248905593,365.374249458313,COMPLETE
24,0.28934260063766715,2025-10-23 02:21:32.640738,2025-10-23 02:27:53.947351,0 days 00:06:21.306613,128,0.534769939423908,0.0011150478524114935,3.462693436111196e-05,74.66,0.01035942600637667,376.52984404563904,COMPLETE
25,0.33533701044735154,2025-10-23 02:27:53.950001,2025-10-23 02:34:06.474332,0 days 00:06:12.524331,256,0.6105150736006713,0.00014352922346633668,1.812544809063098e-05,67.71,0.010124370104473514,367.7311329841614,COMPLETE
26,0.29758829753317184,2025-10-23 02:34:06.477266,2025-10-23 02:40:25.477917,0 days 00:06:19.000651,128,0.6611138888840689,0.00030562567901229535,0.0008290958512799895,73.22,0.010297882975331718,374.26958107948303,COMPLETE
27,0.2764529911699106,2025-10-23 02:40:25.481222,2025-10-23 02:46:35.304054,0 days 00:06:09.822832,256,0.5917779308872675,0.0005223279175102031,6.428290182209734e-05,72.86,0.010050529911699106,365.0167202949524,COMPLETE
28,0.2627001094835184,2025-10-23 02:46:35.307815,2025-10-23 02:52:44.912105,0 days 00:06:09.604290,256,0.6991113870139898,0.0010517822307334508,0.000254186108545107,74.17,0.010044001094835185,364.79727578163147,COMPLETE
29,0.32066464109310233,2025-10-23 02:52:44.914198,2025-10-23 02:59:07.704431,0 days 00:06:22.790233,128,0.6965758838797589,0.0034834597423603034,1.158222130150345e-05,71.89,0.010395646410931023,377.8564524650574,COMPLETE
